City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,yellowknife,62.456,-114.3525,-34.21,87,20,0.0,CA,1705923081
82,zaozersk,69.4005,32.4476,-9.47,95,100,2.88,RU,1705923088
83,ambon,-3.6954,128.1814,28.15,78,100,8.13,ID,1705923088
84,otacilio costa,-27.4831,-50.1219,15.5,90,95,1.77,BR,1705923088
85,vilyuchinsk,52.9306,158.4028,-7.85,90,51,2.71,RU,1705923089
86,tazovsky,67.4667,78.7,-8.2,94,100,7.75,RU,1705923089
87,bethel,41.3712,-73.414,-5.84,78,0,0.45,US,1705923089
88,dawei,14.0833,98.2,24.48,50,37,1.96,MM,1705922941
89,kukawa,12.9234,13.5606,29.06,16,5,5.34,NG,1705923090
90,alice springs,-23.7,133.8833,33.75,53,94,3.6,AU,1705922902
91,isafjordur,66.0755,-23.124,-4.98,74,100,2.06,IS,1705923090
92,badger,64.8,-147.5333,-36.05,61,0,1.54,US,1705923091
93,kasongo-lunda,-6.4667,16.8167,33.33,38,50,1.71,CD,1705923091
94,leninskoye,41.7589,69.3864,6.73,40,97,0.35,KZ,1705923091
95,howrah,22.5892,88.3103,20.0,52,20,3.09,IN,1705923092
96,three points,32.0767,-111.3137,10.2,88,50,2.23,US,1705923092
97,atafu village,-8.5421,-172.5159,29.43,73,85,3.68,TK,1705923092
98,terrace,54.5163,-128.6035,-0.05,80,100,7.2,CA,1705923093
99,chota,-6.55,-78.65,13.32,98,100,2.0,PE,1705923093
100,remire-montjoly,4.9167,-52.2667,27.02,83,75,6.17,GF,1705922994
101,pakxan,18.3778,103.6601,25.44,53,81,2.17,LA,1705923094
102,nguigmi,14.2495,13.1092,27.09,17,94,4.94,NE,1705923094
103,port lincoln,-34.7333,135.8667,20.14,69,2,5.52,AU,1705923094
104,khasab,26.1799,56.2477,23.46,56,1,2.58,OM,1705923095
105,primorsk,46.7348,36.3443,0.37,59,19,5.64,UA,1705923095
106,wailua homesteads,22.0669,-159.378,22.24,88,20,4.12,US,1705923095
107,puerto natales,-51.7236,-72.4875,18.25,55,75,6.17,CL,1705923096
108,armacao de buzios,-22.7469,-41.8817,27.03,80,44,6.14,BR,1705923097
109,tanacu,46.6833,27.8167,-0.68,75,12,5.29,RO,1705923097
110,kodiak,57.79,-152.4072,-3.27,80,100,10.29,US,1705923097
111,jamestown,42.097,-79.2353,-8.23,93,0,4.12,US,1705923097
112,port mathurin,-19.6833,63.4167,28.39,85,64,10.59,MU,1705923010
113,vila velha,-20.3297,-40.2925,26.97,91,75,0.89,BR,1705923011
114,cockburn town,21.4612,-71.1419,24.77,75,89,11.57,TC,1705923099
115,huai yot,7.7893,99.6348,27.79,89,99,1.67,TH,1705923068
116,tralee,52.2704,-9.7026,9.14,71,40,8.23,IE,1705922900
117,tobelo,1.7284,128.0095,24.33,92,100,2.21,ID,1705923099
118,hamilton,39.1834,-84.5333,-5.69,76,75,3.6,US,1705922937
119,snovsk,51.8239,31.9428,-4.93,92,98,5.7,UA,1705923100
120,nadym,65.5333,72.5167,-7.34,93,100,9.4,RU,1705922800
121,el bordo,2.117,-76.9821,19.57,82,78,0.59,CO,1705923100
122,ulladulla,-35.35,150.4667,18.76,79,87,3.43,AU,1705923100
123,mwatate,-3.5029,38.3795,27.37,58,79,4.84,KE,1705923101
124,sinabang,2.4803,96.3801,27.85,77,61,1.23,ID,1705923101
125,cidreira,-30.1811,-50.2056,23.16,60,99,6.37,BR,1705923102
126,minsk mazowiecki,52.1794,21.5725,5.13,67,100,9.12,PL,1705922914
127,wewak,-3.5534,143.6268,26.83,87,100,4.21,PG,1705923102
128,san patricio,28.017,-97.5169,13.94,99,100,3.08,US,1705923102
129,galliano,29.4422,-90.2992,10.0,76,75,3.6,US,1705923102
130,erbil,36.1926,44.0106,15.9,59,75,3.6,IQ,1705922923
131,vojens,55.2464,9.306,8.76,81,20,11.32,DK,1705923103
132,vila franca do campo,37.7167,-25.4333,18.27,99,64,5.74,PT,1705923104
133,khilok,51.3674,110.4676,-21.51,96,34,1.82,RU,1705923104
134,keflavik,64.0049,-22.5624,-5.05,79,40,5.66,IS,1705923104
135,collie,-33.3667,116.15,18.66,61,0,3.34,AU,1705923105
136,nova vicosa,-17.8919,-39.3719,27.03,77,100,1.92,BR,1705923105
137,al qusayr,34.5091,36.5798,18.61,38,27,3.46,SY,1705923105
138,invercargill,-46.4,168.35,14.45,94,100,5.36,NZ,1705923000
139,al qubbah,32.7616,22.2424,8.65,73,100,11.74,LY,1705923106
140,yugorsk,61.3133,63.3319,-8.95,86,38,4.67,RU,1705922849
141,susuman,62.7833,148.1667,-46.93,100,86,0.27,RU,1705923106
142,puerto deseado,-47.7503,-65.8938,20.82,36,5,6.02,AR,1705923106
143,iqaluit,63.7506,-68.5145,-21.84,76,40,1.54,CA,1705923107
144,rio grande,-32.035,-52.0986,25.06,58,98,6.53,BR,1705923107
145,itaituba,-4.2761,-55.9836,27.09,94,0,0.0,BR,1705923108
146,mount pleasant,32.7941,-79.8626,0.55,66,0,2.24,US,1705923108
147,whitehorse,60.7161,-135.0538,-21.5,73,100,2.57,CA,1705923108
148,mossel bay,-34.1831,22.146,18.96,74,100,8.05,ZA,1705923035
149,envira,-7.3,-70.2167,23.93,88,98,0.12,BR,1705923109
150,rio segundo,-31.6526,-63.9099,20.56,61,0,2.12,AR,1705923041
151,peniche,39.3558,-9.3811,15.72,86,77,3.14,PT,1705923110
152,saynshand,44.8824,110.1163,-25.24,86,27,2.26,MN,1705923065
